name;Object;property;exist
产品名称;applyCustInfoVO;prodId;FRD不存在，能查到
贷款编号;applyCustInfoVO;contractNo;存在
支用编号;loanDrawndnInfo;drawndnSeqno;
日利率;loanDrawndnInfo;dayIntRate;
借款日;loanDrawndnInfo;startDate;
到期日;loanDrawndnInfo;dueDate;
目前逾期天数;loanDrawndnInfo;ovdDays;
目前逾期期数;loanDrawndnInfo;ovdTerms;
资产分类;loanDrawndnInfo;assetClass;
获贷金额;loanDrawndnInfo;amt;
贷款余额;loanDrawndnInfo;oweAmt;
应收利息;loanDrawndnInfo;intDue;
逾期本金;loanDrawndnInfo;ovdPrinAmt;
逾期利息罚息;loanDrawndnInfo;ovdAccIntDue;
逾期本金罚息;loanDrawndnInfo;ovdPrinIntDue;
应收费用;loanDrawndnInfo;feeDue;
逾期利息;loanDrawndnInfo;ovdInt;
逾期欠款余额;loanDrawndnInfo;ovdBalanceDue;
欠款余额;loanDrawndnInfo;balanceDue;
退款未还贷欠款余额;;
未还贷欠款余额;;
当期应收利息;loanDrawndnInfo;curIntDue;
当期已收利息;loanDrawndnInfo;curRepayInt;